shipment_id,origin,destination,item,dispatch_date,planned_eta,actual_arrival,delay_days,is_delayed
SHP10000,Singapore Port,Mumbai Port,Electronics,2023-05-21,2023-06-07,2023-06-07,0,0
SHP10001,Singapore Port,Mumbai Port,Machinery,2023-02-14,2023-03-14,2023-03-14,0,0
SHP10002,Mumbai Port,Shanghai Port,Auto Parts,2023-04-30,2023-05-26,2023-05-26,0,0
SHP10003,Dubai Port,Shanghai Port,Machinery,2023-08-03,2023-08-20,2023-08-20,0,0
SHP10004,Los Angeles Port,Mumbai Port,Auto Parts,2023-12-24,2024-01-16,2024-01-16,0,0
SHP10005,Shanghai Port,Los Angeles Port,Textiles,2023-02-22,2023-03-06,2023-03-06,0,0
SHP10006,Los Angeles Port,Rotterdam Port,Machinery,2023-05-16,2023-05-27,2023-05-27,0,0
SHP10007,Dubai Port,Mumbai Port,Pharmaceuticals,2023-02-10,2023-03-09,2023-03-09,0,0
SHP10008,Singapore Port,Dubai Port,Textiles,2023-10-23,2023-11-08,2023-11-08,0,0
SHP10009,Mumbai Port,Los Angeles Port,Textiles,2023-02-10,2023-02-27,2023-02-27,0,0
SHP10010,Rotterdam Port,Los Angeles Port,Pharmaceuticals,2023-11-22,2023-12-13,2023-12-13,0,0
SHP10011,Los Angeles Port,Shanghai Port,Textiles,2023-12-26,2024-01-25,2024-02-01,7,1
SHP10012,Singapore Port,Shanghai Port,Machinery,2023-05-06,2023-05-21,2023-05-21,0,0
SHP10013,Los Angeles Port,Singapore Port,Auto Parts,2023-12-17,2024-01-06,2024-01-06,0,0
SHP10014,Mumbai Port,Los Angeles Port,Electronics,2023-06-11,2023-07-03,2023-07-03,0,0
SHP10015,Shanghai Port,Singapore Port,Textiles,2023-04-19,2023-05-19,2023-05-19,0,0
SHP10016,Singapore Port,Rotterdam Port,Auto Parts,2023-05-16,2023-05-30,2023-05-30,0,0
SHP10017,Dubai Port,Singapore Port,Textiles,2023-10-27,2023-11-19,2023-11-19,0,0
SHP10018,Rotterdam Port,Los Angeles Port,Auto Parts,2023-03-12,2023-04-07,2023-04-07,0,0
SHP10019,Mumbai Port,Shanghai Port,Auto Parts,2023-11-18,2023-12-03,2023-12-03,0,0
SHP10020,Rotterdam Port,Singapore Port,Electronics,2023-07-17,2023-08-08,2023-08-08,0,0
SHP10021,Rotterdam Port,Singapore Port,Textiles,2023-10-11,2023-10-21,2023-10-21,0,0
SHP10022,Mumbai Port,Singapore Port,Textiles,2023-11-25,2023-12-15,2023-12-15,0,0
SHP10023,Rotterdam Port,Shanghai Port,Pharmaceuticals,2023-01-02,2023-01-20,2023-01-20,0,0
