shipment_id,transit_days,origin_weather_severity,dest_weather_severity,origin_nlp_risk,is_delayed,delay_days,origin_Dubai Port,origin_Los Angeles Port,origin_Mumbai Port,origin_Rotterdam Port,origin_Shanghai Port,origin_Singapore Port,destination_Dubai Port,destination_Los Angeles Port,destination_Mumbai Port,destination_Rotterdam Port,destination_Shanghai Port,destination_Singapore Port,item_Auto Parts,item_Electronics,item_Machinery,item_Pharmaceuticals,item_Textiles
SHP10000,17,0,4,0.1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
SHP10001,28,0,0,0.1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
SHP10002,26,3,3,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10003,17,3,4,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
SHP10004,23,0,0,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10005,12,0,3,0.1,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
SHP10006,11,4,4,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SHP10007,27,1,3,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
SHP10008,16,4,1,0.1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
SHP10009,17,4,10,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10010,21,1,0,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
SHP10011,30,0,3,0.1,1,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10012,15,0,1,0.9539816975593568,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
SHP10013,20,3,0,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10014,22,3,3,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10015,30,1,0,0.1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
SHP10016,14,0,3,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
SHP10017,23,4,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10018,26,0,0,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
SHP10019,15,10,0,0.9995187520980836,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10020,22,0,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10021,10,0,4,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10022,20,0,0,0.989282488822937,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10023,18,0,1,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10024,19,1,0,0.990997076034546,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
SHP10025,21,1,0,0.9845608472824096,0,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10026,20,0,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10027,11,10,1,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
